timestamp,mode,feats_down_size,effective_correspondence_count,residual_mean,residual_std,residual_max,signed_dist_abs_mean,signed_dist_abs_std,signed_dist_abs_max,tangent_lp_mean,tangent_lp_max,planarity_mean,acceptance_ratio,match_time,solve_time,kdtree_search_time,kdtree_incremental_time
0.299509,plane_baseline,350,292,0.025451,0.038997,0.302991,0.025451,0.038997,0.302991,0.000000,0.000000,0.995954,0.834286,0.001206,0.000028,0.001012,0.000244
0.399745,plane_baseline,335,282,0.021863,0.033159,0.195860,0.021863,0.033159,0.195860,0.000000,0.000000,0.996557,0.841791,0.000907,0.000025,0.000948,0.000229
0.499587,plane_baseline,329,265,0.020013,0.029474,0.272221,0.020013,0.029474,0.272221,0.000000,0.000000,0.996239,0.805471,0.000814,0.000022,0.000770,0.000151
0.599417,plane_baseline,320,263,0.023126,0.030362,0.168664,0.023126,0.030362,0.168664,0.000000,0.000000,0.995493,0.821875,0.000972,0.000026,0.000976,0.000129
0.700050,plane_baseline,334,264,0.021279,0.034942,0.315609,0.021279,0.034942,0.315609,0.000000,0.000000,0.995642,0.790419,0.000680,0.000016,0.000816,0.000099
0.799881,plane_baseline,320,256,0.020800,0.025652,0.179025,0.020800,0.025652,0.179025,0.000000,0.000000,0.995683,0.800000,0.000785,0.000024,0.000868,0.000150
0.899707,plane_baseline,348,276,0.021949,0.028192,0.211845,0.021949,0.028192,0.211845,0.000000,0.000000,0.994492,0.793103,0.001038,0.000026,0.001108,0.000076
0.999539,plane_baseline,324,252,0.017462,0.022572,0.182067,0.017462,0.022572,0.182067,0.000000,0.000000,0.996181,0.777778,0.000826,0.000021,0.000925,0.000077
1.099395,plane_baseline,323,242,0.023781,0.036953,0.282755,0.023781,0.036953,0.282755,0.000000,0.000000,0.996510,0.749226,0.001019,0.000029,0.001097,0.000184
1.200050,plane_baseline,344,258,0.017185,0.021182,0.188088,0.017185,0.021182,0.188088,0.000000,0.000000,0.996799,0.750000,0.000947,0.000024,0.000918,0.000082
1.299877,plane_baseline,346,262,0.018773,0.028761,0.249414,0.018773,0.028761,0.249414,0.000000,0.000000,0.996116,0.757225,0.000866,0.000025,0.000893,0.000076
1.399706,plane_baseline,334,258,0.021096,0.029356,0.195584,0.021096,0.029356,0.195584,0.000000,0.000000,0.995896,0.772455,0.000847,0.000025,0.000903,0.000067
1.499542,plane_baseline,351,275,0.019467,0.028758,0.229053,0.019467,0.028758,0.229053,0.000000,0.000000,0.996184,0.783476,0.000927,0.000029,0.000937,0.000074
1.599378,plane_baseline,340,250,0.020221,0.026633,0.175702,0.020221,0.026633,0.175702,0.000000,0.000000,0.995687,0.735294,0.000987,0.000025,0.001077,0.000039
1.700006,plane_baseline,334,259,0.018866,0.025244,0.193972,0.018866,0.025244,0.193972,0.000000,0.000000,0.995899,0.775449,0.001090,0.000028,0.001107,0.000039
1.799839,plane_baseline,336,256,0.019467,0.027662,0.195001,0.019467,0.027662,0.195001,0.000000,0.000000,0.995966,0.761905,0.000927,0.000021,0.001124,0.000045
1.899679,plane_baseline,343,264,0.017906,0.021957,0.167025,0.017906,0.021957,0.167025,0.000000,0.000000,0.995558,0.769679,0.000924,0.000028,0.000972,0.000042
1.999515,plane_baseline,317,242,0.016233,0.017384,0.098953,0.016233,0.017384,0.098953,0.000000,0.000000,0.996300,0.763407,0.000864,0.000025,0.000909,0.000051
2.099738,plane_baseline,343,258,0.017890,0.024633,0.227645,0.017890,0.024633,0.227645,0.000000,0.000000,0.995271,0.752187,0.000938,0.000026,0.001101,0.000039
2.199580,plane_baseline,316,244,0.017470,0.019824,0.148441,0.017470,0.019824,0.148441,0.000000,0.000000,0.995859,0.772152,0.000926,0.000021,0.000907,0.000048
2.299423,plane_baseline,328,262,0.020782,0.025955,0.216399,0.020782,0.025955,0.216399,0.000000,0.000000,0.995380,0.798780,0.000878,0.000029,0.000945,0.000041
2.400054,plane_baseline,342,264,0.016687,0.018491,0.095110,0.016687,0.018491,0.095110,0.000000,0.000000,0.995680,0.771930,0.000736,0.000018,0.000944,0.000036
2.499905,plane_baseline,330,257,0.020655,0.028101,0.210372,0.020655,0.028101,0.210372,0.000000,0.000000,0.995070,0.778788,0.000791,0.000026,0.000865,0.000038
2.599730,plane_baseline,333,250,0.019286,0.028211,0.247141,0.019286,0.028211,0.247141,0.000000,0.000000,0.995321,0.750751,0.000977,0.000020,0.000988,0.000047
2.699579,plane_baseline,348,271,0.020135,0.030076,0.258012,0.020135,0.030076,0.258012,0.000000,0.000000,0.995850,0.778736,0.001025,0.000023,0.001234,0.000053
2.799410,plane_baseline,343,258,0.019710,0.026439,0.200787,0.019710,0.026439,0.200787,0.000000,0.000000,0.995611,0.752187,0.000799,0.000027,0.000975,0.000031
2.900033,plane_baseline,342,260,0.017243,0.022720,0.183211,0.017243,0.022720,0.183211,0.000000,0.000000,0.995907,0.760234,0.000743,0.000020,0.000948,0.000035
2.999876,plane_baseline,339,256,0.019207,0.023778,0.196674,0.019207,0.023778,0.196674,0.000000,0.000000,0.994926,0.755162,0.000949,0.000024,0.001162,0.000023
3.099717,plane_baseline,333,253,0.018665,0.022794,0.196001,0.018665,0.022794,0.196001,0.000000,0.000000,0.995558,0.759760,0.000854,0.000024,0.000916,0.000022
3.199560,plane_baseline,328,244,0.016700,0.022978,0.220680,0.016700,0.022978,0.220680,0.000000,0.000000,0.995849,0.743902,0.000859,0.000019,0.001074,0.000047
3.299394,plane_baseline,345,260,0.018311,0.027261,0.270002,0.018311,0.027261,0.270002,0.000000,0.000000,0.993537,0.753623,0.000919,0.000028,0.001051,0.000051
3.400032,plane_baseline,321,242,0.017033,0.021079,0.166280,0.017033,0.021079,0.166280,0.000000,0.000000,0.996021,0.753894,0.000824,0.000024,0.000920,0.000035
3.499873,plane_baseline,339,255,0.019443,0.026270,0.244487,0.019443,0.026270,0.244487,0.000000,0.000000,0.994565,0.752212,0.000717,0.000020,0.000931,0.000037
3.599713,plane_baseline,324,240,0.016489,0.025835,0.247803,0.016489,0.025835,0.247803,0.000000,0.000000,0.995030,0.740741,0.000902,0.000020,0.001076,0.000023
3.699547,plane_baseline,339,258,0.019084,0.030643,0.225518,0.019084,0.030643,0.225518,0.000000,0.000000,0.994377,0.761062,0.001088,0.000026,0.001143,0.000025
3.799398,plane_baseline,329,243,0.020088,0.028270,0.217594,0.020088,0.028270,0.217594,0.000000,0.000000,0.994559,0.738602,0.000974,0.000018,0.001101,0.000027
3.900033,plane_baseline,347,257,0.020409,0.034063,0.274352,0.020409,0.034063,0.274352,0.000000,0.000000,0.995527,0.740634,0.000991,0.000028,0.001009,0.000076
3.999873,plane_baseline,343,257,0.019422,0.025212,0.190414,0.019422,0.025212,0.190414,0.000000,0.000000,0.993891,0.749271,0.000920,0.000022,0.000862,0.000020
4.099734,plane_baseline,343,249,0.016754,0.022314,0.141023,0.016754,0.022314,0.141023,0.000000,0.000000,0.995610,0.725948,0.000737,0.000019,0.000879,0.000016
4.199594,plane_baseline,346,255,0.018546,0.025493,0.201331,0.018546,0.025493,0.201331,0.000000,0.000000,0.994344,0.736994,0.000847,0.000021,0.001014,0.000020
4.299442,plane_baseline,324,242,0.019388,0.025792,0.186186,0.019388,0.025792,0.186186,0.000000,0.000000,0.994521,0.746914,0.000810,0.000025,0.000875,0.000029
4.399693,plane_baseline,321,238,0.018524,0.024251,0.232329,0.018524,0.024251,0.232329,0.000000,0.000000,0.994952,0.741433,0.001115,0.000024,0.001018,0.000019
4.499546,plane_baseline,344,255,0.018554,0.027774,0.263914,0.018554,0.027774,0.263914,0.000000,0.000000,0.993600,0.741279,0.000743,0.000020,0.000947,0.000016
4.599383,plane_baseline,326,247,0.017244,0.019608,0.127843,0.017244,0.019608,0.127843,0.000000,0.000000,0.995572,0.757669,0.000935,0.000023,0.001012,0.000018
4.700023,plane_baseline,338,251,0.019576,0.028684,0.252489,0.019576,0.028684,0.252489,0.000000,0.000000,0.994416,0.742604,0.000833,0.000019,0.000955,0.000023
4.799875,plane_baseline,332,241,0.016341,0.024779,0.228124,0.016341,0.024779,0.228124,0.000000,0.000000,0.994988,0.725904,0.000880,0.000019,0.001026,0.000013
4.899714,plane_baseline,337,258,0.019489,0.027380,0.210131,0.019489,0.027380,0.210131,0.000000,0.000000,0.993864,0.765579,0.001119,0.000024,0.001064,0.000024
4.999548,plane_baseline,326,246,0.018067,0.026033,0.221357,0.018067,0.026033,0.221357,0.000000,0.000000,0.994774,0.754601,0.000872,0.000026,0.000964,0.000017
5.099383,plane_baseline,346,261,0.019338,0.027604,0.236430,0.019338,0.027604,0.236430,0.000000,0.000000,0.994868,0.754335,0.000688,0.000018,0.000806,0.000023
5.200034,plane_baseline,339,252,0.021480,0.027991,0.171737,0.021480,0.027991,0.171737,0.000000,0.000000,0.993681,0.743363,0.000875,0.000018,0.000978,0.000016
5.299870,plane_baseline,347,265,0.017550,0.021044,0.126069,0.017550,0.021044,0.126069,0.000000,0.000000,0.994911,0.763689,0.000834,0.000018,0.000933,0.000017
5.399695,plane_baseline,350,256,0.017839,0.021571,0.180628,0.017839,0.021571,0.180628,0.000000,0.000000,0.994804,0.731429,0.000732,0.000020,0.000964,0.000023
5.499535,plane_baseline,324,248,0.018940,0.024322,0.163344,0.018940,0.024322,0.163344,0.000000,0.000000,0.993825,0.765432,0.000930,0.000023,0.000943,0.000009
5.599379,plane_baseline,338,252,0.017809,0.020976,0.174406,0.017809,0.020976,0.174406,0.000000,0.000000,0.994848,0.745562,0.000733,0.000021,0.000719,0.000031
5.700021,plane_baseline,332,263,0.019179,0.023751,0.170574,0.019179,0.023751,0.170574,0.000000,0.000000,0.994019,0.792169,0.000908,0.000018,0.001098,0.000009
5.799857,plane_baseline,330,250,0.019016,0.022674,0.171701,0.019016,0.022674,0.171701,0.000000,0.000000,0.994143,0.757576,0.000997,0.000020,0.001072,0.000036
5.899706,plane_baseline,336,252,0.020209,0.026606,0.202111,0.020209,0.026606,0.202111,0.000000,0.000000,0.994532,0.750000,0.000680,0.000017,0.000773,0.000010
5.999548,plane_baseline,330,249,0.014353,0.017771,0.129242,0.014353,0.017771,0.129242,0.000000,0.000000,0.993920,0.754545,0.000953,0.000025,0.000931,0.000026
6.099389,plane_baseline,347,264,0.019226,0.024695,0.193734,0.019226,0.024695,0.193734,0.000000,0.000000,0.994165,0.760807,0.000757,0.000019,0.000900,0.000010
6.200028,plane_baseline,332,250,0.018434,0.028560,0.212712,0.018434,0.028560,0.212712,0.000000,0.000000,0.994581,0.753012,0.000876,0.000018,0.001050,0.000020
6.299868,plane_baseline,340,255,0.017685,0.023460,0.231231,0.017685,0.023460,0.231231,0.000000,0.000000,0.993829,0.750000,0.000928,0.000021,0.000927,0.000016
6.399698,plane_baseline,337,251,0.022238,0.030624,0.217558,0.022238,0.030624,0.217558,0.000000,0.000000,0.994036,0.744807,0.000892,0.000020,0.001057,0.000010
6.499538,plane_baseline,338,249,0.016854,0.019037,0.117623,0.016854,0.019037,0.117623,0.000000,0.000000,0.995447,0.736686,0.000975,0.000025,0.001011,0.000012
6.599373,plane_baseline,348,256,0.018535,0.021435,0.168968,0.018535,0.021435,0.168968,0.000000,0.000000,0.994924,0.735632,0.000789,0.000021,0.000815,0.000019
6.700028,plane_baseline,336,256,0.018963,0.022038,0.147644,0.018963,0.022038,0.147644,0.000000,0.000000,0.994526,0.761905,0.000836,0.000027,0.000872,0.000014
6.799870,plane_baseline,329,242,0.018871,0.025958,0.290678,0.018871,0.025958,0.290678,0.000000,0.000000,0.994709,0.735562,0.000730,0.000017,0.000899,0.000018
6.899709,plane_baseline,337,249,0.018918,0.022018,0.158626,0.018918,0.022018,0.158626,0.000000,0.000000,0.994506,0.738872,0.000749,0.000018,0.000910,0.000030
6.999560,plane_baseline,323,242,0.017887,0.019181,0.110138,0.017887,0.019181,0.110138,0.000000,0.000000,0.994576,0.749226,0.000891,0.000019,0.000971,0.000012
7.099397,plane_baseline,334,245,0.020281,0.029935,0.247106,0.020281,0.029935,0.247106,0.000000,0.000000,0.994563,0.733533,0.000940,0.000022,0.000955,0.000032
7.200032,plane_baseline,330,243,0.014679,0.019229,0.181028,0.014679,0.019229,0.181028,0.000000,0.000000,0.995426,0.736364,0.001126,0.000026,0.001147,0.000009
7.299872,plane_baseline,336,250,0.018120,0.022868,0.178618,0.018120,0.022868,0.178618,0.000000,0.000000,0.993778,0.744048,0.001074,0.000026,0.001037,0.000014
7.399702,plane_baseline,331,253,0.020157,0.027535,0.209613,0.020157,0.027535,0.209613,0.000000,0.000000,0.995375,0.764350,0.001297,0.000024,0.001126,0.000014
7.499540,plane_baseline,350,262,0.018904,0.027020,0.197883,0.018904,0.027020,0.197883,0.000000,0.000000,0.994396,0.748571,0.000789,0.000021,0.000902,0.000014
7.599375,plane_baseline,338,250,0.019997,0.027660,0.243953,0.019997,0.027660,0.243953,0.000000,0.000000,0.994163,0.739645,0.000903,0.000024,0.000922,0.000008
7.700013,plane_baseline,334,250,0.017814,0.024847,0.230545,0.017814,0.024847,0.230545,0.000000,0.000000,0.994787,0.748503,0.000678,0.000019,0.000853,0.000018
7.799858,plane_baseline,348,253,0.021216,0.027414,0.208453,0.021216,0.027414,0.208453,0.000000,0.000000,0.994453,0.727011,0.000910,0.000023,0.000967,0.000017
7.899704,plane_baseline,343,251,0.017381,0.020312,0.109934,0.017381,0.020312,0.109934,0.000000,0.000000,0.995797,0.731778,0.000759,0.000019,0.000936,0.000023
7.999546,plane_baseline,339,246,0.017852,0.019802,0.118131,0.017852,0.019802,0.118131,0.000000,0.000000,0.994699,0.725664,0.000847,0.000018,0.000997,0.000033
8.099370,plane_baseline,341,252,0.018468,0.021615,0.135155,0.018468,0.021615,0.135155,0.000000,0.000000,0.994585,0.739003,0.000934,0.000027,0.000974,0.000017
8.199999,plane_baseline,327,238,0.017707,0.020453,0.166445,0.017707,0.020453,0.166445,0.000000,0.000000,0.994779,0.727829,0.000821,0.000018,0.000970,0.000014
8.299837,plane_baseline,339,256,0.017210,0.020997,0.129086,0.017210,0.020997,0.129086,0.000000,0.000000,0.995068,0.755162,0.000713,0.000020,0.000895,0.000021
8.399681,plane_baseline,347,264,0.019651,0.023417,0.157608,0.019651,0.023417,0.157608,0.000000,0.000000,0.993886,0.760807,0.000865,0.000022,0.000901,0.000016
8.499522,plane_baseline,336,249,0.018423,0.022501,0.149371,0.018423,0.022501,0.149371,0.000000,0.000000,0.995086,0.741071,0.000851,0.000025,0.000950,0.000019
8.599365,plane_baseline,322,243,0.017434,0.022056,0.159778,0.017434,0.022056,0.159778,0.000000,0.000000,0.994653,0.754658,0.000799,0.000025,0.000828,0.000025
8.700016,plane_baseline,341,252,0.016715,0.023210,0.195264,0.016715,0.023210,0.195264,0.000000,0.000000,0.994662,0.739003,0.000738,0.000020,0.000981,0.000008
8.799861,plane_baseline,341,255,0.019645,0.025510,0.204400,0.019645,0.025510,0.204400,0.000000,0.000000,0.995163,0.747801,0.001135,0.000030,0.001130,0.000024
8.899703,plane_baseline,341,251,0.017666,0.022876,0.200049,0.017666,0.022876,0.200049,0.000000,0.000000,0.994014,0.736070,0.001002,0.000025,0.001022,0.000016
8.999540,plane_baseline,338,253,0.021222,0.028565,0.213306,0.021222,0.028565,0.213306,0.000000,0.000000,0.994129,0.748521,0.000850,0.000027,0.000944,0.000023
9.099387,plane_baseline,339,249,0.016666,0.018639,0.122732,0.016666,0.018639,0.122732,0.000000,0.000000,0.994489,0.734513,0.000835,0.000025,0.000921,0.000013
9.200026,plane_baseline,350,262,0.022467,0.032544,0.214331,0.022467,0.032544,0.214331,0.000000,0.000000,0.994765,0.748571,0.000766,0.000019,0.000963,0.000009
9.299863,plane_baseline,339,244,0.017716,0.021398,0.194320,0.017716,0.021398,0.194320,0.000000,0.000000,0.994875,0.719764,0.001059,0.000027,0.001145,0.000023
9.399727,plane_baseline,341,250,0.020211,0.025960,0.181262,0.020211,0.025960,0.181262,0.000000,0.000000,0.994849,0.733138,0.001134,0.000031,0.001174,0.000017
9.499567,plane_baseline,340,249,0.017415,0.019997,0.137681,0.017415,0.019997,0.137681,0.000000,0.000000,0.995484,0.732353,0.000750,0.000020,0.000927,0.000019
9.599397,plane_baseline,338,254,0.019660,0.024188,0.166106,0.019660,0.024188,0.166106,0.000000,0.000000,0.993828,0.751479,0.001113,0.000027,0.001133,0.000025
9.700039,plane_baseline,348,234,0.020734,0.027782,0.202339,0.020734,0.027782,0.202339,0.000000,0.000000,0.995358,0.672414,0.000813,0.000023,0.000892,0.000032
9.799877,plane_baseline,373,274,0.022230,0.030620,0.291876,0.022230,0.030620,0.291876,0.000000,0.000000,0.996055,0.734584,0.000930,0.000027,0.001065,0.000036
9.899719,plane_baseline,401,288,0.022101,0.024135,0.175886,0.022101,0.024135,0.175886,0.000000,0.000000,0.995772,0.718204,0.000992,0.000028,0.001119,0.000068
9.999568,plane_baseline,450,333,0.022050,0.032078,0.301440,0.022050,0.032078,0.301440,0.000000,0.000000,0.996372,0.740000,0.001453,0.000029,0.001463,0.000105
10.099404,plane_baseline,517,369,0.024912,0.044059,0.313145,0.024912,0.044059,0.313145,0.000000,0.000000,0.996641,0.713733,0.001333,0.000031,0.001399,0.000285
10.200045,plane_baseline,590,407,0.026963,0.038930,0.301836,0.026963,0.038930,0.301836,0.000000,0.000000,0.995892,0.689831,0.001575,0.000037,0.001753,0.000194
10.299872,plane_baseline,597,403,0.020075,0.030387,0.292329,0.020075,0.030387,0.292329,0.000000,0.000000,0.996624,0.675042,0.001428,0.000030,0.001567,0.000192
10.399700,plane_baseline,635,448,0.022907,0.037577,0.369974,0.022907,0.037577,0.369974,0.000000,0.000000,0.996360,0.705512,0.001686,0.000045,0.001784,0.000265
10.499529,plane_baseline,584,417,0.022573,0.035316,0.331763,0.022573,0.035316,0.331763,0.000000,0.000000,0.996323,0.714041,0.001783,0.000037,0.001895,0.000328
10.599381,plane_baseline,538,400,0.020051,0.024861,0.193913,0.020051,0.024861,0.193913,0.000000,0.000000,0.996570,0.743494,0.001312,0.000035,0.001595,0.000100
10.700020,plane_baseline,472,366,0.021272,0.027913,0.207278,0.021272,0.027913,0.207278,0.000000,0.000000,0.995894,0.775424,0.001273,0.000030,0.001424,0.000104
10.799853,plane_baseline,446,335,0.023461,0.031884,0.201669,0.023461,0.031884,0.201669,0.000000,0.000000,0.996121,0.751121,0.001506,0.000026,0.001428,0.000100
10.899694,plane_baseline,459,336,0.023792,0.032799,0.266361,0.023792,0.032799,0.266361,0.000000,0.000000,0.995475,0.732026,0.001186,0.000021,0.001418,0.000055
10.999547,plane_baseline,499,358,0.021775,0.028836,0.219173,0.021775,0.028836,0.219173,0.000000,0.000000,0.996056,0.717435,0.001347,0.000030,0.001519,0.000106
11.099370,plane_baseline,545,385,0.020388,0.024796,0.199508,0.020388,0.024796,0.199508,0.000000,0.000000,0.995855,0.706422,0.001260,0.000029,0.001607,0.000078
11.200021,plane_baseline,556,391,0.019999,0.027088,0.178318,0.019999,0.027088,0.178318,0.000000,0.000000,0.996005,0.703237,0.001754,0.000034,0.001988,0.000154
11.299869,plane_baseline,546,374,0.019618,0.020962,0.171617,0.019618,0.020962,0.171617,0.000000,0.000000,0.996036,0.684982,0.001715,0.000031,0.001859,0.000126
11.399720,plane_baseline,521,383,0.022833,0.028678,0.219995,0.022833,0.028678,0.219995,0.000000,0.000000,0.996577,0.735125,0.002169,0.000031,0.001738,0.000116
11.499550,plane_baseline,541,420,0.022955,0.034356,0.355536,0.022955,0.034356,0.355536,0.000000,0.000000,0.996329,0.776340,0.001477,0.000036,0.001594,0.000239
11.599376,plane_baseline,598,456,0.019433,0.025750,0.205602,0.019433,0.025750,0.205602,0.000000,0.000000,0.997117,0.762542,0.001570,0.000041,0.001694,0.000117
11.700024,plane_baseline,678,520,0.020750,0.032197,0.325994,0.020750,0.032197,0.325994,0.000000,0.000000,0.997242,0.766962,0.001736,0.000049,0.001966,0.000162
11.799876,plane_baseline,764,576,0.020996,0.033464,0.311993,0.020996,0.033464,0.311993,0.000000,0.000000,0.996201,0.753927,0.001956,0.000042,0.002259,0.000106
11.899712,plane_baseline,741,541,0.020940,0.027408,0.230650,0.020940,0.027408,0.230650,0.000000,0.000000,0.995579,0.730094,0.002149,0.000043,0.002534,0.000160
11.999556,plane_baseline,696,514,0.023339,0.028732,0.235334,0.023339,0.028732,0.235334,0.000000,0.000000,0.995556,0.738506,0.001762,0.000056,0.002205,0.000092
12.099401,plane_baseline,634,461,0.020611,0.025983,0.268648,0.020611,0.025983,0.268648,0.000000,0.000000,0.995362,0.727129,0.001645,0.000043,0.001969,0.000055
12.200043,plane_baseline,543,385,0.019466,0.022843,0.185939,0.019466,0.022843,0.185939,0.000000,0.000000,0.995224,0.709024,0.001393,0.000028,0.001753,0.000044
12.299896,plane_baseline,510,364,0.019673,0.024917,0.202009,0.019673,0.024917,0.202009,0.000000,0.000000,0.995043,0.713725,0.001316,0.000028,0.001601,0.000033
12.399736,plane_baseline,511,367,0.020356,0.025240,0.162682,0.020356,0.025240,0.162682,0.000000,0.000000,0.994148,0.718200,0.001365,0.000030,0.001580,0.000035
12.499576,plane_baseline,516,364,0.018609,0.020012,0.135373,0.018609,0.020012,0.135373,0.000000,0.000000,0.995305,0.705426,0.001761,0.000030,0.001783,0.000022
12.599420,plane_baseline,447,313,0.020024,0.024924,0.170489,0.020024,0.024924,0.170489,0.000000,0.000000,0.994657,0.700224,0.001038,0.000023,0.001401,0.000041
12.700052,plane_baseline,383,256,0.021380,0.024208,0.174237,0.021380,0.024208,0.174237,0.000000,0.000000,0.995081,0.668407,0.001134,0.000023,0.001175,0.000038
12.799893,plane_baseline,319,207,0.021925,0.024981,0.148625,0.021925,0.024981,0.148625,0.000000,0.000000,0.995674,0.648903,0.000854,0.000020,0.000974,0.000060
12.899732,plane_baseline,325,222,0.025759,0.035422,0.204899,0.025759,0.035422,0.204899,0.000000,0.000000,0.996904,0.683077,0.000836,0.000021,0.000966,0.000142
12.999575,plane_baseline,354,240,0.029830,0.043561,0.315511,0.029830,0.043561,0.315511,0.000000,0.000000,0.996388,0.677966,0.000904,0.000023,0.000998,0.000324
13.099408,plane_baseline,398,301,0.028859,0.043637,0.283580,0.028859,0.043637,0.283580,0.000000,0.000000,0.996352,0.756281,0.001114,0.000025,0.001114,0.000125
13.200054,plane_baseline,551,415,0.024365,0.043765,0.334565,0.024365,0.043765,0.334565,0.000000,0.000000,0.997301,0.753176,0.001784,0.000038,0.001887,0.000184
13.299899,plane_baseline,758,580,0.020321,0.027295,0.218753,0.020321,0.027295,0.218753,0.000000,0.000000,0.995804,0.765172,0.001842,0.000043,0.002152,0.000293
13.399727,plane_baseline,805,586,0.019807,0.023292,0.172870,0.019807,0.023292,0.172870,0.000000,0.000000,0.996501,0.727950,0.002046,0.000049,0.002575,0.000093
13.499578,plane_baseline,766,569,0.023692,0.026569,0.202976,0.023692,0.026569,0.202976,0.000000,0.000000,0.995665,0.742820,0.002359,0.000048,0.002695,0.000088
13.599401,plane_baseline,703,493,0.019762,0.023292,0.226018,0.019762,0.023292,0.226018,0.000000,0.000000,0.996072,0.701280,0.001978,0.000046,0.002217,0.000056
13.700039,plane_baseline,676,470,0.019618,0.026089,0.211414,0.019618,0.026089,0.211414,0.000000,0.000000,0.994932,0.695266,0.001744,0.000044,0.002032,0.000045
13.799878,plane_baseline,619,444,0.019025,0.020731,0.148749,0.019025,0.020731,0.148749,0.000000,0.000000,0.995771,0.717286,0.002088,0.000052,0.002267,0.000047
13.899719,plane_baseline,524,361,0.019485,0.021393,0.148082,0.019485,0.021393,0.148082,0.000000,0.000000,0.996062,0.688931,0.001538,0.000031,0.001677,0.000012
13.999563,plane_baseline,412,287,0.021719,0.030080,0.226833,0.021719,0.030080,0.226833,0.000000,0.000000,0.994817,0.696602,0.001254,0.000025,0.001375,0.000012
14.099408,plane_baseline,324,214,0.020170,0.024058,0.154263,0.020170,0.024058,0.154263,0.000000,0.000000,0.996434,0.660494,0.000840,0.000017,0.000921,0.000029
14.200053,plane_baseline,271,155,0.021160,0.027752,0.191312,0.021160,0.027752,0.191312,0.000000,0.000000,0.993999,0.571956,0.000883,0.000016,0.000963,0.000022
14.299897,plane_baseline,249,140,0.024636,0.026650,0.205445,0.024636,0.026650,0.205445,0.000000,0.000000,0.994658,0.562249,0.000665,0.000014,0.000812,0.000044
14.399728,plane_baseline,267,182,0.024688,0.034285,0.213480,0.024688,0.034285,0.213480,0.000000,0.000000,0.993694,0.681648,0.000709,0.000015,0.000828,0.000042
14.499573,plane_baseline,311,209,0.019188,0.019771,0.144648,0.019188,0.019771,0.144648,0.000000,0.000000,0.995409,0.672026,0.000802,0.000019,0.000955,0.000051
14.599415,plane_baseline,398,300,0.020136,0.024804,0.202801,0.020136,0.024804,0.202801,0.000000,0.000000,0.995873,0.753769,0.001074,0.000027,0.001273,0.000053
14.700062,plane_baseline,541,409,0.018731,0.022266,0.181525,0.018731,0.022266,0.181525,0.000000,0.000000,0.996049,0.756007,0.001428,0.000033,0.001656,0.000049
14.799902,plane_baseline,655,488,0.017504,0.022378,0.204907,0.017504,0.022378,0.204907,0.000000,0.000000,0.996463,0.745038,0.001658,0.000036,0.002032,0.000042
14.899732,plane_baseline,724,524,0.019285,0.023743,0.191742,0.019285,0.023743,0.191742,0.000000,0.000000,0.996034,0.723757,0.001742,0.000043,0.002121,0.000054
14.999573,plane_baseline,743,531,0.018136,0.022410,0.181067,0.018136,0.022410,0.181067,0.000000,0.000000,0.995647,0.714670,0.002408,0.000048,0.002609,0.000069
15.099419,plane_baseline,767,563,0.018452,0.024350,0.196977,0.018452,0.024350,0.196977,0.000000,0.000000,0.995945,0.734029,0.002244,0.000048,0.002640,0.000061
15.199671,plane_baseline,743,517,0.023774,0.035197,0.266582,0.023774,0.035197,0.266582,0.000000,0.000000,0.995677,0.695828,0.002278,0.000053,0.002610,0.000139
15.299530,plane_baseline,747,514,0.028736,0.043582,0.359702,0.028736,0.043582,0.359702,0.000000,0.000000,0.995415,0.688086,0.001879,0.000042,0.002013,0.000253
15.399371,plane_baseline,785,551,0.040547,0.061895,0.386514,0.040547,0.061895,0.386514,0.000000,0.000000,0.995221,0.701911,0.002049,0.000047,0.002198,0.000657
15.500003,plane_baseline,833,534,0.039715,0.055229,0.350956,0.039715,0.055229,0.350956,0.000000,0.000000,0.995514,0.641056,0.002036,0.000043,0.002325,0.000756
15.599848,plane_baseline,788,566,0.035154,0.049890,0.314045,0.035154,0.049890,0.314045,0.000000,0.000000,0.996296,0.718274,0.002189,0.000044,0.002280,0.000691
15.699682,plane_baseline,820,590,0.033498,0.046720,0.324006,0.033498,0.046720,0.324006,0.000000,0.000000,0.995399,0.719512,0.002776,0.000047,0.002870,0.000419
15.799526,plane_baseline,810,580,0.036895,0.053797,0.297791,0.036895,0.053797,0.297791,0.000000,0.000000,0.995691,0.716049,0.001856,0.000052,0.002358,0.000329
15.899366,plane_baseline,790,576,0.030616,0.037563,0.281935,0.030616,0.037563,0.281935,0.000000,0.000000,0.995153,0.729114,0.002206,0.000049,0.002500,0.000381
15.999998,plane_baseline,779,556,0.029039,0.037852,0.368509,0.029039,0.037852,0.368509,0.000000,0.000000,0.994985,0.713736,0.002120,0.000043,0.002195,0.000289
16.099832,plane_baseline,814,558,0.030306,0.038048,0.312210,0.030306,0.038048,0.312210,0.000000,0.000000,0.995440,0.685504,0.002117,0.000047,0.002406,0.000317
16.199663,plane_baseline,816,548,0.027610,0.034407,0.251482,0.027610,0.034407,0.251482,0.000000,0.000000,0.995770,0.671569,0.002041,0.000045,0.002389,0.000274
16.299514,plane_baseline,729,498,0.023501,0.027715,0.214707,0.023501,0.027715,0.214707,0.000000,0.000000,0.995838,0.683128,0.001825,0.000041,0.002105,0.000191
